simulationId,archetypeId,profileId,timelineKey,weeks,totalCompletionCount,avgAdherenceClamped,statOverallPct,rankOverallRank,rankOverallLp,rankOverallProgressValue,currentWeekShare,mappedHabitCount,unmappedHabitCount
A02_P03_24m,A02,P03,24m,96,1248,0.7119047619047676,17,Gold IV,77,1377,0.0104,4,0
A02_P03_48m,A02,P03,48m,192,2496,0.7119047619047619,29,Gold I,78,1678,0.0052,4,0
A02_P04_1m,A02,P04,1m,4,68,0.7961904761904763,2,Iron IV,7,107,0.2500,5,0
A02_P04_3m,A02,P04,3m,12,204,0.7961904761904756,4,Bronze I,1,801,0.0833,5,0
A02_P04_6m,A02,P04,6m,24,408,0.7961904761904751,8,Silver II,47,1147,0.0417,5,0
A02_P04_12m,A02,P04,12m,48,816,0.7961904761904782,13,Gold IV,31,1331,0.0208,5,0
A02_P04_24m,A02,P04,24m,96,1632,0.7961904761904794,21,Gold I,33,1633,0.0104,5,0
A02_P04_48m,A02,P04,48m,192,3264,0.7961904761904713,34,Platinum II,95,1995,0.0052,5,0
A02_P05_1m,A02,P05,1m,4,84,0.6904761904761902,2,Unranked,63,63,0.2500,6,0
A02_P05_3m,A02,P05,3m,12,252,0.690476190476191,5,Bronze IV,89,589,0.0833,6,0
A02_P05_6m,A02,P05,6m,24,504,0.6904761904761885,9,Silver IV,1,901,0.0417,6,0
A02_P05_12m,A02,P05,12m,48,1008,0.6904761904761926,16,Silver III,88,1088,0.0208,6,0
A02_P05_24m,A02,P05,24m,96,2016,0.6904761904761937,25,Silver I,91,1291,0.0104,6,0
A02_P05_48m,A02,P05,48m,192,4032,0.690476190476177,38,Gold II,92,1592,0.0052,6,0
A02_P06_1m,A02,P06,1m,4,124,0.6964285714285711,3,Unranked,63,63,0.2500,8,0
A02_P06_3m,A02,P06,3m,12,372,0.6964285714285721,7,Bronze III,5,605,0.0833,8,0
A02_P06_6m,A02,P06,6m,24,744,0.6964285714285685,12,Silver IV,21,921,0.0417,8,0
A02_P06_12m,A02,P06,12m,48,1488,0.696428571428575,20,Silver II,4,1104,0.0208,8,0
A02_P06_24m,A02,P06,24m,96,2976,0.6964285714285741,31,Gold IV,7,1307,0.0104,8,0
A02_P06_48m,A02,P06,48m,192,5952,0.6964285714285534,46,Gold I,8,1608,0.0052,8,0
A02_P07_1m,A02,P07,1m,4,156,0.717142857142857,4,Unranked,61,61,0.2500,10,0
A02_P07_3m,A02,P07,3m,12,468,0.7171428571428572,9,Bronze III,52,652,0.0833,10,0
A02_P07_6m,A02,P07,6m,24,936,0.7171428571428571,16,Silver IV,79,979,0.0417,10,0
